Building_Data_101215.AnalogValue1.PresentValue,12,GOOD,23-Mar-20 06:57:23.02055
VAVCO 2-03.Setpoint Offset Current.1315f488-6e35-5fba-1531-384ac098e1ef,3.5,GOOD,23-Mar-20 03:27:22.37993
Building_Data_101221.AnalogValue1.PresentValue,32.4,GOOD,23-Mar-20 03:12:22.62993
VAVCO 2-09.Setpoint Offset Current.1315f49e-6e35-5fba-1531-384ac098e1ef,3.2,GOOD,23-Mar-20 03:57:22.39555
